,Descriptions,Functions
0,Retarget customers who have already expressed interest in your products or services,Marketing
1,"Also called recommendation personalization system or recommendation system, these systems leverage customer data to retain and upgrade customers with personalized recommendations via email, site search or other channels",Marketing
2,"Leverage Natural Language Processing and machine vision to analyze and act upon all content generated by your actual or potential customers on social media, surveys and reviews",Marketing
3,Manage and improve all your product information centrally to improve product discoverability and appeal,Marketing
4,"Connect all your marketing data and KPIs automatically. Empower your teams to complete and share their advanced analysis with ease. Act on your data to manage campaigns, trigger alerts and improve your marketing efficiency",Marketing
5,Context is crucial to marketing. Consider these advertising experiences: You watch a video of a plane crash interrupted by an airline ad. You are reading about a specific phone model exploding when overcharged and you see the ad for that model on the same page. There are horrible yet relatively innocent examples. There has been numerous cases when brand ads were shown in-between videos of hate-groups. Context aware advertising companies leverage machine vision and Natural Language Processing (NLP) to understand the context where your ads will be served. Protect your brand and increase marketing efficiency by ensuring your message resonates with its context.,Marketing
6,"Also called dynamic pricing or demand pricing, pricing optimization allows companies to optimize markdowns. Optimal markdowns minimize cannibilization while maximizing revenues. One of the easiest transformations a business can achieve, dynamic prices directly impact bottom line and can be rolled out in a matter of days.",Marketing
7,"Use video, images or robots on the retail area to audit and analyze your use of shelf space. Identify and manage stock-outs or sub-optimal use of shelf space.",Marketing
8,"Personalized, individual messaging based on each customer’s real-time and historical behaviors.",Marketing
9,Leverage Natural Language Processing to monitor social media to make real-time business decisions,Marketing
10,Leverage machine learning and big data to optimize your online or offline merchandising,Marketing
11,"Learn from, analyze, and measure your PR efforts. These solutions track media activity and provide insights into PR efforts to highlight what is driving engagement, traffic, and revenue.",Marketing
12,"Leverage machine learning to optimize the channel, target audience, message and timing of your social media posts",Marketing
13,Personalize your website based on customer data,Marketing
14,Personalize your marketing communication across different paid marketing platforms,Marketing
15,Leverage machine vision to tag your images taking into account your users' preferences and relevant context for your products,Marketing
16,Leverage neuroscience and biometric sensors to understand how your content impacts your audience’s emotions and memory. Test your content in private until it achieves the desired effect.,Marketing
17,Leverage machine vision to enable your customers to search your products by image or video to immediately reach their desired products,Marketing
18,Emails that are tailored to individual behaviour,Marketing
19,"Choose the topic for your content marketing, let AI create the unique content",Marketing
20,Using advocacy system and referrals to introduce and create a customer base via personal connections.,Marketing
21,Leverage 3rd party data to better understand your existing customers and target potential customers,Marketing
22,Auto identify products in videos generated by you or users. Make videos with embedded products shoppable by inserting relevant links,Marketing
23,"Self-checkout systems have many names. They are called cashierless, cashier-free or automated checkout systems. They allow retail companies to serve customers in their physical stores without the need for cashiers. Technologies that allowed users to scan and pay for their products have been used for almost a decade now and those systems did not require great advances in AI. However, these days we are witnessing systems powered by advanced sensors and AI to identify purchased merchandise and charge customers automatically.",Marketing
24,Interpret human gestures to add new modes of interactivity to your products.,Marketing
